"weightid","weight","activation.type","dataset","n","response.levels","n.levels","n.predictors","cluster","dataset.cluster","layer"
"h2_w23",-0.221810638904572,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w24",0.0494816415011883,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w25",0.364908903837204,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w26",0.0360266007483006,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w27",0.459335058927536,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w28",0.198073014616966,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w29",0.148993760347366,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w30",0.491976380348206,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w31",-0.155584096908569,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w32",0.527988851070404,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w33",-0.157480776309967,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w34",0.336278349161148,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w35",0.169768840074539,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w36",0.056313794106245,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w37",0.000487482146127149,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w38",-0.000992508139461279,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w39",0.487785369157791,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w40",0.343668192625046,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w41",0.270893275737762,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w42",0.146261379122734,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w43",0.0644346103072166,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w44",0.34722962975502,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w45",-0.0954163670539856,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w46",0.0582307316362858,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w47",0.405768513679504,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w48",0.0304056517779827,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w49",0.229106187820435,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w50",-0.533877730369568,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w51",-0.381306976079941,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w52",-0.192371845245361,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w53",-0.144361183047295,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w54",-0.382333159446716,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w55",0.405325651168823,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w56",-0.342096477746964,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w57",0.238612323999405,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w58",-0.208380460739136,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w59",-0.390879392623901,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w60",0.457860141992569,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w61",-0.259976953268051,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w62",-0.209932297468185,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w63",-0.383439481258392,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w64",0.358039051294327,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w65",0.426689833402634,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w66",0.328576147556305,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w67",0.207168355584145,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w68",-0.349136561155319,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w69",-0.198142305016518,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w70",-0.0580295063555241,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w71",0.0190328042954206,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w72",-0.216808572411537,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w73",0.247771129012108,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w74",0.374603539705276,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w75",-0.283272624015808,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w76",-0.0356207378208637,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w77",0.298708021640778,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w78",0.175494953989983,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w79",-0.433022111654282,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w80",0.282317698001862,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w81",0.12411741912365,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w82",0.0392051599919796,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w83",0.0681841373443604,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w84",0.015164565294981,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w85",-0.257391691207886,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w86",-0.48503053188324,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w87",0.506965696811676,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w88",-0.302488088607788,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w89",0.300529658794403,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w90",0.249139472842216,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w91",-0.339814305305481,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w92",0.547261893749237,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w93",0.183851152658463,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w94",0.361758828163147,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w95",-0.376155138015747,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w96",-0.457599401473999,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w97",0.483537763357162,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w98",0.525787472724915,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h2_w99",-0.221586093306541,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden2"
"h3_w00",0.0812388360500336,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w01",0.452790349721909,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w02",-0.24293041229248,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w03",0.355139553546906,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w04",-0.475435525178909,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w05",-0.264021903276443,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w06",-0.115865282714367,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w07",-0.0732898637652397,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w08",-0.113300912082195,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w09",-0.516636073589325,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w10",0.0683028325438499,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w11",0.288610398769379,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w12",0.347215920686722,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w13",0.320227533578873,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w14",-0.0277575347572565,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w15",0.247279837727547,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w16",-0.0441578179597855,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w17",0.248809307813644,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w18",0.174150004982948,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w19",0.501264333724976,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w20",0.18562088906765,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w21",-0.0229833535850048,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w22",0.297366201877594,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w23",-0.201272338628769,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w24",0.378206163644791,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w25",0.303318291902542,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w26",0.025119237601757,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w27",0.279572576284409,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w28",-0.302040338516235,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w29",-0.377110987901688,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w30",0.0148724066093564,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w31",0.411202937364578,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w32",0.546068131923676,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w33",0.121249593794346,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w34",0.51440292596817,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w35",0.430536895990372,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w36",0.202521964907646,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w37",-0.344300806522369,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w38",0.474378228187561,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w39",-0.194095194339752,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w40",0.150687754154205,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w41",-0.360658645629883,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w42",-0.416613787412643,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w43",-0.293686389923096,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w44",-0.362015843391418,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w45",0.0874714702367783,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w46",-0.455321937799454,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w47",0.336167454719543,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w48",0.271209329366684,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w49",-0.443953156471252,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w50",0.278996080160141,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w51",0.295123845338821,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w52",-0.320272773504257,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w53",0.0275327768176794,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w54",-0.492792218923569,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w55",0.229534044861794,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w56",-0.386121988296509,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w57",0.286853343248367,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w58",0.269305795431137,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w59",0.00190952105913311,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w60",-0.0937675163149834,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w61",-0.164374932646751,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w62",0.00630605733022094,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w63",0.249389991164207,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w64",0.237478956580162,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w65",0.148815855383873,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w66",-0.167127400636673,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w67",0.208711311221123,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w68",-0.337381631135941,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w69",-0.24231930077076,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w70",0.0622545257210732,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w71",-0.143718764185905,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w72",0.0322230532765388,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w73",-0.331227153539658,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w74",0.107446134090424,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w75",-0.182558208703995,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w76",-0.136379957199097,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w77",-0.0860095396637917,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w78",-0.353785187005997,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w79",-0.45613956451416,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w80",0.0664732903242111,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w81",-0.366789102554321,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w82",-0.477556526660919,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w83",-0.0204457938671112,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w84",-0.389740616083145,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w85",0.423515558242798,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w86",-0.0526192113757133,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w87",0.468505561351776,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w88",0.28207802772522,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w89",0.501177608966827,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w90",-0.524726450443268,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w91",-0.419902086257935,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w92",0.184840425848961,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w93",0.418699830770493,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w94",0.428801417350769,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w95",-0.339216619729996,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w96",0.21279413998127,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w97",0.258377939462662,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w98",0.114631630480289,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h3_w99",0.214281126856804,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden3"
"h4_w00",-0.0467679426074028,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w01",-0.530053198337555,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w02",0.147630199790001,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w03",0.310074865818024,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w04",-0.276102900505066,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w05",-0.263836473226547,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w06",0.397001624107361,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w07",0.524690926074982,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w08",-0.100383959710598,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w09",-0.0307632796466351,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w10",0.118484780192375,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w11",-0.287569850683212,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w12",-0.30626779794693,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w13",0.172092363238335,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w14",-0.463447779417038,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w15",-0.200723111629486,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w16",-0.0252359602600336,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w17",0.212263733148575,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w18",-0.270352125167847,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w19",0.439958572387695,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w20",-0.324536472558975,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w21",-0.273466885089874,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w22",-0.470627874135971,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w23",-0.321520388126373,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w24",0.14936563372612,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w25",0.441090911626816,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w26",0.426757633686066,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w27",0.0736983418464661,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w28",0.266369432210922,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w29",-0.53307443857193,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w30",0.349933654069901,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w31",-0.209473431110382,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w32",-0.409401804208755,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w33",0.0619290135800838,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w34",0.385770499706268,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w35",0.0727032497525215,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w36",-0.0292958170175552,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w37",-0.41248020529747,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w38",-0.317503988742828,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w39",0.324179440736771,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w40",0.298053801059723,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w41",0.134502038359642,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w42",0.297569572925568,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w43",-0.371379762887955,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
"h4_w44",-0.111427590250969,"RectifierWithDropout","dermatology",366,"2;1;3;5;4;6",6,34,2,5,"Hidden4"
